Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Change_Point_pvalue,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
Region,Southern Ocean,None,Number_MHW_days,-4.67193357253195,1.15025653964201e-4,2006,3.22350494512571e-4,-0.9563890133790689,0.413686226993168,0.40914638931964703,1,-0.4278033139193749
Region,Southern Ocean,None,Nevents,-0.48216599412035205,7.26925623920422e-6,2006,4.80960677134675e-5,-0.113448046599784,0.338287854972766,-0.290625961319004,0.499461203104015,2.5617537721408183
Region,Southern Ocean,None,Mean_Intensity,0.104100565498808,2.88040275488741e-5,2005,4.84489721860331e-6,-0.042715681056385,0.0561410637912752,0.253166966239867,0.00151480435398805,-5.9267922219403415
Region,Southern Ocean,None,Maximum_Intensity,0.138946069075027,5.82953207970167e-5,2005,1.09148162273998e-5,-0.065916426414799,0.0395167129619474,0.341242106887455,8.48090438710058e-4,-5.176890275271995
Region,Southern Ocean,None,Cumulative_Intensity,-0.590686816287657,0.491823743144037,1993,0.490076252393634,7.17012965354858,0.243722284772174,0.613117051609213,0.721538652049639,0.08550989748222675
Region x Season,Arctic,Summer,Number_MHW_days,4.00362988401311,1.5771142626827e-7,2002,3.09406970094943e-5,1.38236904021076,0.155824587862033,6.306577412598,0.02517833280286,4.562151805451662
Region x Season,Arctic,Summer,Nevents,0.19099981289384602,1.62389017736814e-5,2002,6.55494015166751e-5,0.102578997905899,0.238924218578746,0.057069450968011796,0.820338216433617,0.5563463489901173
Region x Season,Arctic,Summer,Mean_Intensity,0.35874819203017205,4.53976428173682e-5,2006,4.51834518032562e-5,8.27096688761399e-4,0.981367125268665,0.267556294572898,0.344417522979072,323.48853309226905
Region x Season,Arctic,Summer,Maximum_Intensity,0.554626359991555,9.03992072298876e-5,2006,5.11870723406465e-5,-0.00417620288686511,0.907038480803695,0.46331071342425095,0.444043639662887,-110.94066212191086
Region x Season,Arctic,Summer,Cumulative_Intensity,11.9752034407048,1.22364019587525e-7,2002,2.72319099561882e-5,2.32639291190945,0.1941266858781,28.0774683969716,0.0149610176751757,12.069099872697883
Region x Season,Arctic,Autumn,Number_MHW_days,4.8947243565813805,4.64644788555115e-8,2000,1.73178369308654e-5,0.201045652994125,0.779566064581155,9.27995472430335,5.81397380907571e-4,46.158445040214474
Region x Season,Arctic,Autumn,Nevents,0.247555052492259,6.03601141113768e-8,2000,1,0.0666885531866937,0.293917170251957,0.27828183921538097,0.00948086851561627,4.172857648243391
Region x Season,Arctic,Autumn,Mean_Intensity,0.191088010887803,1.15025653964201e-4,2002,3.22350494512571e-4,0.0867889434127468,0.566142727568169,0.10611060010777201,0.537603236348886,1.2226280898839403
Region x Season,Arctic,Autumn,Maximum_Intensity,0.35133744026126,1.88597992131685e-6,2002,2.90297850230217e-5,0.0660947357429311,0.381187304987758,0.41381241029106003,0.1272886922566,6.260898173502687
Region x Season,Arctic,Autumn,Cumulative_Intensity,8.00123352835193,7.01503872379656e-9,2002,3.93834820092435e-6,1.76214921432158,0.0654733584595351,16.3541308115205,0.0149610176751757,9.280786597755156
Region x Season,Arctic,Winter,Number_MHW_days,3.77824918573046,5.82953207970167e-5,2004,1.00340186236579e-4,-0.472538133994502,0.634510292881857,13.1573510124149,0.0488795923567911,-27.843998327059854
Region x Season,Arctic,Winter,Nevents,0.178550992597239,7.594964414428e-4,2000,2.03892045562092e-4,-0.188129702493956,0.0802428781903364,0.166145636824233,0.214713301425192,-0.8831441001697791
Region x Season,Arctic,Winter,Mean_Intensity,0.08588433275688781,7.3571856652491e-7,1998,3.74207293546777e-5,0.115119489900159,0.00447905438254336,0.0200271919234168,0.535185319447485,0.17396873405872468
Region x Season,Arctic,Winter,Maximum_Intensity,0.14399017258404198,1.90874122396223e-7,1998,1.02107830524213e-5,0.139859148222532,0.0188755459296659,0.0395916447847353,0.333358243488261,0.2830822673232675
Region x Season,Arctic,Winter,Cumulative_Intensity,3.8347099251906904,6.10461977292404e-9,2000,2.24852308086782e-6,-0.17446650565170502,0.674611943553671,6.06224944544378,3.84006337007569e-5,-34.747354071194096
Region x Season,Arctic,Spring,Number_MHW_days,2.56713649185217,0.00596260439743397,2002,0.00309354317844479,-1.2569810397655001,0.0371976937291238,6.7496934992757796,0.0855148056305152,-5.369765561885475
