Scale,Region_Name,Season_Name,Metrics,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue,lm_slope,Sens_Slope_pre,P_Value_pre,Sens_Slope_post,P_Value_post,Trend_Decadal,Trend_Decadal_lm,Trend_Decadal_pre,Trend_Decadal_post
Region x Season,Arctic,Summer,Cumulative_Intensity,1.197520344,1.22E-07,2002,2.72E-05,1.58001747,0.232639291,0.194,2.80774684,0.0150,11.975,15.8001747,2.326,28.077
Region x Season,Arctic,Autumn,Number_MHW_days,0.489472436,4.65E-08,2000,1.73E-05,0.605675716,0.020104565,0.780,0.927995472,0.0006,4.895,6.056757162,0.201,9.280
Region x Season,Arctic,Autumn,Nevents,0.024755505,6.04E-08,2000,23,0.025123751,0.006668855,0.294,0.027828184,0.0095,0.248,0.251237509,0.067,0.278
Region x Season,Arctic,Autumn,Mean_Intensity,0.019108801,1.15E-04,2002,3.22E-04,0.017188061,0.008678894,0.566,0.01061106,0.5376,0.191,0.171880608,0.087,0.106
Region x Season,Arctic,Autumn,Maximum_Intensity,0.035133744,1.89E-06,2002,2.90E-05,0.034050284,0.006609474,0.381,0.041381241,0.1273,0.351,0.340502838,0.066,0.414
Region x Season,Arctic,Autumn,Cumulative_Intensity,0.800123353,7.02E-09,2002,3.94E-06,1.177068007,0.176214921,0.065,1.635413081,0.0150,8.001,11.77068007,1.762,16.354
Region x Season,Arctic,Winter,Number_MHW_days,0.377824919,5.83E-05,2004,1.00E-04,0.641810894,-0.047253813,0.635,1.315735101,0.0489,3.778,6.418108937,-0.473,13.157
Region x Season,Arctic,Winter,Nevents,0.017855099,7.59E-04,2000,2.04E-04,0.016988477,-0.01881297,0.080,0.016614564,0.2147,0.179,0.169884768,-0.188,0.166
Region x Season,Arctic,Winter,Mean_Intensity,0.008588433,7.36E-07,1998,3.74E-05,0.009480825,0.011511949,0.004,0.002002719,0.5352,0.086,0.094808246,0.115,0.020
Region x Season,Arctic,Winter,Maximum_Intensity,0.014399017,1.91E-07,1998,1.02E-05,0.014871148,0.013985915,0.019,0.003959164,0.3334,0.144,0.148711475,0.140,0.040
Region x Season,Arctic,Winter,Cumulative_Intensity,0.383470993,6.10E-09,2000,2.25E-06,0.420647517,-0.017446651,0.675,0.606224945,0.0000,3.835,4.20647517,-0.174,6.062
Region x Season,Arctic,Spring,Number_MHW_days,0.256713649,0.005962604,2002,0.003093543,0.429453124,-0.125698104,0.037,0.67496935,0.0855,2.567,4.294531236,-1.257,6.750
Region x Season,Arctic,Spring,Nevents,0.005965468,0.118442464,2002,0.014555598,0.008568349,-0.008692761,0.139,-0.013880954,0.2843,0.060,0.085683488,-0.087,-0.139
Region x Season,Arctic,Spring,Mean_Intensity,0.005541868,0.032038025,1989,10,0.007140568,0.011530253,0.536,2.82E-04,0.9876,0.055,0.071405681,0.115,0.003
Region x Season,Arctic,Spring,Maximum_Intensity,0.009440415,0.006867055,1989,0.022959638,0.010871836,0.015762532,0.711,0.002478067,0.5664,0.094,0.108718361,0.158,0.025
Region x Season,Arctic,Spring,Cumulative_Intensity,0.245774804,7.80E-07,2002,5.12E-05,0.335710494,0.030098155,0.216,0.370150189,0.0556,2.458,3.357104936,0.301,3.702
Region x Season,Temperate Northern Atlantic,Summer,Number_MHW_days,0.485959135,1.71E-08,2001,5.19E-06,0.49823592,0.178037812,0.086,0.484648803,0.0275,4.860,4.982359203,1.780,4.846
Region x Season,Temperate Northern Atlantic,Summer,Nevents,0.034829028,1.95E-08,2001,5.19E-06,0.035797718,0.014344679,0.064,0.031927955,0.0431,0.348,0.357977179,0.143,0.319
Region x Season,Temperate Northern Atlantic,Summer,Mean_Intensity,0.006195602,0.00845565,2001,0.007544441,0.006193463,-0.0037988,0.581,0.001535604,0.6506,0.062,0.061934632,-0.038,0.015
Region x Season,Temperate Northern Atlantic,Summer,Maximum_Intensity,0.019618866,5.54E-05,2001,7.88E-05,0.018735487,-0.002967323,0.770,0.014259043,0.1941,0.196,0.187354867,-0.030,0.143
Region x Season,Temperate Northern Atlantic,Summer,Cumulative_Intensity,1.065209339,2.55E-08,2001,5.95E-06,1.105299287,0.431165694,0.086,1.128157035,0.0372,10.652,11.05299287,4.312,11.282
Region x Season,Temperate Northern Atlantic,Autumn,Number_MHW_days,0.573498367,6.14E-10,1998,3.94E-06,0.664852463,0.174599718,0.108,0.928809296,0.0012,5.735,6.648524627,1.746,9.288
Region x Season,Temperate Northern Atlantic,Autumn,Nevents,0.034224376,2.62E-09,1998,3.43E-06,0.034275648,0.008202116,0.266,0.037147384,0.0019,0.342,0.342756482,0.082,0.371
Region x Season,Temperate Northern Atlantic,Autumn,Mean_Intensity,7.88E-04,0.552376505,2011,0.406361811,5.88E-04,-0.002138799,0.254,-0.002050458,0.7555,0.008,0.005883335,-0.021,-0.021
Region x Season,Temperate Northern Atlantic,Autumn,Maximum_Intensity,0.007134803,0.005359425,2009,0.004986609,0.007120149,-0.001241065,0.737,0.013435394,0.4277,0.071,0.071201487,-0.012,0.134
