Scale_1,Scale_2,Region_Name,Season_Name,Metrics,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue
Global,Region x Season,Tropical Atlantic,Autumn,Number_Events,26.9565217391304,1.24528941577132e-7,2001,1.1333805404577e-5
Global,Region x Season,Tropical Atlantic,Spring,Cumulative_Intensity,0.228380192745503,8.02740462147889e-5,2001,0.00254526760267962
Global,Region x Season,Tropical Atlantic,Spring,Maximum_Intensity,-1.21131639682641e-4,0.980698067380767,2003,1
Global,Region x Season,Tropical Atlantic,Spring,Duration,0.186440677966102,5.40491364977218e-6,2001,2.48186485431059e-4
Global,Region x Season,Tropical Atlantic,Spring,Number_Events,21.2857142857143,1.30658919817109e-6,2001,3.97183100025278e-4
Global,Region x Season,Tropical Atlantic,Summer,Cumulative_Intensity,0.13943735876509,1.45622603525576e-4,2004,7.02339641877292e-4
Global,Region x Season,Tropical Atlantic,Summer,Maximum_Intensity,-0.00370315889287257,0.0529290169947308,1995,15
Global,Region x Season,Tropical Atlantic,Summer,Duration,0.11587892799041,3.09855815728365e-7,2004,6.38154303823238e-5
Global,Region x Season,Tropical Atlantic,Summer,Number_Events,16.1,3.51676261366853e-5,1994,15
Global,Region x Season,Tropical Atlantic,Winter,Cumulative_Intensity,0.239064371864883,8.41602584541476e-4,2004,0.00749854622927145
Global,Region x Season,Tropical Atlantic,Winter,Maximum_Intensity,-0.00705170474227846,0.00897711395908971,2001,21
Global,Region x Season,Tropical Atlantic,Winter,Duration,0.263641443167305,6.23115933135299e-7,2000,4.93429947567298e-5
Global,Region x Season,Tropical Atlantic,Winter,Number_Events,21,1.02313158177583e-6,2001,5.00082025989587e-4
Global,Region x Season,Tropical Eastern Pacific,Autumn,Cumulative_Intensity,0.143996001255493,0.0677356494014704,2003,0.251496999524263
Global,Region x Season,Tropical Eastern Pacific,Autumn,Maximum_Intensity,4.75749573196768e-4,0.894133801453221,1984,1
Global,Region x Season,Tropical Eastern Pacific,Autumn,Duration,0.114759535655058,0.0160641951436532,2010,0.119609921394013
Global,Region x Season,Tropical Eastern Pacific,Autumn,Number_Events,3.25,4.50460837285153e-4,2000,0.0056378459289433
Global,Region x Season,Tropical Eastern Pacific,Spring,Cumulative_Intensity,0.0858343869731802,0.370696984568353,2009,0.805954041087091
Global,Region x Season,Tropical Eastern Pacific,Spring,Maximum_Intensity,-0.00313064364876385,0.453251032548484,2015,0.86799717113789
Global,Region x Season,Tropical Eastern Pacific,Spring,Duration,0.0752840909090909,0.175465440542809,2009,0.417891565490497
Global,Region x Season,Tropical Eastern Pacific,Spring,Number_Events,2.28571428571429,0.00518354712755025,2001,0.0113498690574986
Global,Region x Season,Tropical Eastern Pacific,Summer,Cumulative_Intensity,0.1324633640553,0.0236800663874319,2000,0.0848631981645769
Global,Region x Season,Tropical Eastern Pacific,Summer,Maximum_Intensity,0.00183269400352735,0.490463260786887,2000,0.542757066444742
Global,Region x Season,Tropical Eastern Pacific,Summer,Duration,0.0833464877663773,0.0195503571455886,2012,0.0975812629499826
Global,Region x Season,Tropical Eastern Pacific,Summer,Number_Events,2.07142857142857,0.00669155822875057,1995,0.0418725411741909
Global,Region x Season,Tropical Eastern Pacific,Winter,Cumulative_Intensity,0.158124521910642,0.0446347018332428,2007,0.132072130815446
Global,Region x Season,Tropical Eastern Pacific,Winter,Maximum_Intensity,0.00342175856620094,0.276278028605147,2007,0.132072130815446
Global,Region x Season,Tropical Eastern Pacific,Winter,Duration,0.0959247648902821,0.0529290169947308,2012,33
Global,Region x Season,Tropical Eastern Pacific,Winter,Number_Events,3.25,1.44970679827107e-4,2001,0.00823341019145541
Global,Region x Season,Western Indo-Pacific,Autumn,Cumulative_Intensity,0.197843441826948,1.45622603525576e-4,2009,0.00823341019145541
Global,Region x Season,Western Indo-Pacific,Autumn,Maximum_Intensity,-0.00112356352258119,0.594544275903627,2005,0.805954041087091
Global,Region x Season,Western Indo-Pacific,Autumn,Duration,0.151882025142423,6.79417686548779e-6,2007,0.00150916021500612
Global,Region x Season,Western Indo-Pacific,Autumn,Number_Events,19.5454545454545,2.24416216028661e-4,1996,0.00186450050096955
Global,Region x Season,Western Indo-Pacific,Spring,Cumulative_Intensity,0.17201409734659,3.51676261366853e-5,1997,6.27655263239725e-4
Global,Region x Season,Western Indo-Pacific,Spring,Maximum_Intensity,0.00160512851323851,0.513607292487685,1997,0.530532258158197
Global,Region x Season,Western Indo-Pacific,Spring,Duration,0.12151535546031,3.51676261366853e-5,1997,7.02339641877292e-4
Global,Region x Season,Western Indo-Pacific,Spring,Number_Events,25,4.54079169715892e-7,1997,8.22726234638713e-5
Global,Region x Season,Western Indo-Pacific,Summer,Cumulative_Intensity,0.209201997832558,4.2900527710888e-6,1995,0.00186450050096955
Global,Region x Season,Western Indo-Pacific,Summer,Maximum_Intensity,1.35130798127187e-4,0.903715806787905,1992,0.244382063408552
Global,Region x Season,Western Indo-Pacific,Summer,Duration,0.151190421418165,1.87762922713884e-6,2006,5.60470204167668e-4
Global,Region x Season,Western Indo-Pacific,Summer,Number_Events,20.25,1.52723775502069e-4,1996,0.0154954654569041
Global,Region x Season,Western Indo-Pacific,Winter,Cumulative_Intensity,0.161947243190313,0.00180242248619312,2009,0.00990278147284135
Global,Region x Season,Western Indo-Pacific,Winter,Maximum_Intensity,-0.00406914151576124,0.01186448483255,2002,0.0141905888542183
Global,Region x Season,Western Indo-Pacific,Winter,Duration,0.169098676727606,9.81205867244769e-5,2008,28
Global,Region x Season,Western Indo-Pacific,Winter,Number_Events,15.8695652173913,1.19667908760563e-4,1997,9.79420907269785e-4
Global,Region x Season,Arctic,Spring,Cumulative_Intensity,0.370025763793185,3.09855815728365e-7,2001,26
Global,Region x Season,Arctic,Spring,Maximum_Intensity,0.0101180540594894,0.0236800663874319,2007,0.155180789712317
Global,Region x Season,Arctic,Spring,Duration,0.280552719781627,6.75166055425267e-4,2003,3.7476928569413e-4
Global,Region x Season,Arctic,Spring,Number_Events,-4.71428571428571,0.762313660403286,2014,0.0975812629499826
Global,Region x Season,Arctic,Summer,Cumulative_Intensity,2.00629364874217,1.09075814127854e-7,2001,2.09283248598764e-5
Global,Region x Season,Arctic,Summer,Maximum_Intensity,0.0611814976145983,6.2186181734292e-5,2005,8.00572373180171e-6
Global,Region x Season,Arctic,Summer,Duration,0.530147502012108,1.05129023394873e-8,2000,20
Global,Region x Season,Arctic,Summer,Number_Events,87.6818181818182,1.38521340570207e-4,2003,0.00103452246615332
Global,Region x Season,Southern Ocean,Autumn,Cumulative_Intensity,0.131127948151755,2.46739507805285e-4,2006,0.0040059713631704
Global,Region x Season,Southern Ocean,Autumn,Maximum_Intensity,0.0117710028797506,5.61211325928597e-5,2006,0.00241779295569731
Global,Region x Season,Southern Ocean,Autumn,Duration,0.037200817023993,0.240602370782333,2008,0.119609921394013
Global,Region x Season,Southern Ocean,Autumn,Number_Events,-17.5,5.06193371945136e-5,2005,0.00176902595422137
Global,Region x Season,Southern Ocean,Winter,Cumulative_Intensity,0.0713534136091191,3.58567322018813e-4,2007,4.20854399668073e-4
Global,Region x Season,Southern Ocean,Winter,Maximum_Intensity,0.00805048980509252,7.18045240614356e-6,2004,3.33467467705703e-4
Global,Region x Season,Southern Ocean,Winter,Duration,0.00143847452967279,0.971048513631528,2009,0.349472593394358
Global,Region x Season,Southern Ocean,Winter,Number_Events,-32.9655172413793,1.21189856659196e-8,2001,22
Global,Region x Season,Temperate Australasia,Autumn,Cumulative_Intensity,0.307163677273856,0.00187643116479156,2005,0.0040059713631704
Global,Region x Season,Temperate Australasia,Autumn,Maximum_Intensity,0.00463245100521599,0.0641757492197951,2005,0.0192404889470727
Global,Region x Season,Temperate Australasia,Autumn,Duration,0.213124604680582,2.7113303604761e-4,1996,0.00115351715947891
Global,Region x Season,Temperate Australasia,Autumn,Number_Events,11.3571428571429,8.43222784565003e-5,1997,0.00176902595422137
Global,Region x Season,Temperate Australasia,Winter,Cumulative_Intensity,0.0838523797920728,0.156940216044129,2011,0.165290939897915
Global,Region x Season,Temperate Australasia,Winter,Maximum_Intensity,-0.0016189068825911,0.431659976901441,1998,0.211089693357283
Global,Region x Season,Temperate Australasia,Winter,Duration,0.0997728359636538,0.0385726912383765,2007,0.145574138095811
Global,Region x Season,Temperate Australasia,Winter,Number_Events,5.3125,0.00602178082782919,1996,0.00487556401369912
Global,Region x Season,Temperate Northern Atlantic,Spring,Cumulative_Intensity,0.267577634303127,0.00146408195410712,2005,0.00143075215701429
Global,Region x Season,Temperate Northern Atlantic,Spring,Maximum_Intensity,0.00970711937523995,0.0575187405092873,2004,0.00487556401369912
Global,Region x Season,Temperate Northern Atlantic,Spring,Duration,0.147002660309563,5.61211325928597e-5,2005,0.00159155124380903
Global,Region x Season,Temperate Northern Atlantic,Spring,Number_Events,61.44,9.50759029562873e-8,1996,23
Global,Region x Season,Temperate Northern Atlantic,Summer,Cumulative_Intensity,0.532152038964583,6.2186181734292e-5,2000,5.93170688252884e-4
Global,Region x Season,Temperate Northern Atlantic,Summer,Maximum_Intensity,0.0248416679609935,2.42017938188355e-5,2000,2.3381161492352e-4
Global,Region x Season,Temperate Northern Atlantic,Summer,Duration,0.172454767445271,1.38521340570207e-4,2000,0.00103452246615332
Global,Region x Season,Temperate Northern Atlantic,Summer,Number_Events,83.7368421052632,1.85017124171823e-8,2000,1.05767451627179e-5
