Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
Region x Season,Temperate Southern Africa,Summer,Cumulative_Intensity,6.152,9.34e-7,2001,2.926,0.056,6.315,0.2639,2.1582365003417636
Region x Season,Temperate Southern Africa,Autumn,Number_MHW_days,1.976,0.00140998,2009,0.848,0.277,7.271,0.1606,8.57429245283019
Region x Season,Temperate Southern Africa,Autumn,Nevents,0.145,4.14e-4,1998,-0.054,0.65,0.19,0.0371,-3.5185185185185186
Region x Season,Temperate Southern Africa,Autumn,Mean_Intensity,0.027,0.176499549,2005,0.017,0.823,-0.048,0.6505,-2.8235294117647056
Region x Season,Temperate Southern Africa,Autumn,Maximum_Intensity,0.067,0.098013943,2006,-0.004,0.944,-0.002,1,0.5
Region x Season,Temperate Southern Africa,Autumn,Cumulative_Intensity,3.413,0.002267334,2009,1.243,0.333,13.863,0.1606,11.152855993563957
Region x Season,Temperate Southern Africa,Winter,Number_MHW_days,1.972,0.001792069,2004,0.346,0.792,4.756,0.1727,13.745664739884395
Region x Season,Temperate Southern Africa,Winter,Nevents,0.122,0.003580246,1997,-0.156,0.163,0.163,0.0798,-1.044871794871795
Region x Season,Temperate Southern Africa,Winter,Mean_Intensity,0.063,0.001104298,2002,0.07,0.194,0.048,0.381,0.6857142857142856
Region x Season,Temperate Southern Africa,Winter,Maximum_Intensity,0.129,1.76e-4,2006,0.085,0.129,0.113,0.4995,1.3294117647058823
Region x Season,Temperate Southern Africa,Winter,Cumulative_Intensity,3.152,9.36e-4,2004,0.792,0.561,7.475,0.1727,9.438131313131311
Region x Season,Temperate Southern Africa,Spring,Number_MHW_days,1.442,0.004637351,2002,-0.174,0.74,2.037,0.23,-11.706896551724139
Region x Season,Temperate Southern Africa,Spring,Nevents,0.104,0.019786863,2002,-0.047,0.566,0.067,0.7212,-1.4255319148936172
Region x Season,Temperate Southern Africa,Spring,Mean_Intensity,0.047,0.016919054,2003,0.015,0.91,0.036,0.4011,2.4
Region x Season,Temperate Southern Africa,Spring,Maximum_Intensity,0.099,0.001469032,2003,0.066,0.463,0.087,0.4415,1.3181818181818181
Region x Season,Temperate Southern Africa,Spring,Cumulative_Intensity,2.663,0.001355162,2002,0.201,0.928,3.179,0.2561,15.815920398009949
Region x Season,Temperate Australasia,Summer,Number_MHW_days,3.41,5.78e-7,1997,-0.856,0.499,4.49,0.0016,-5.2453271028037385
Region x Season,Temperate Australasia,Summer,Nevents,0.25,5.12e-7,2004,0.102,0.205,0.414,0.008,4.0588235294117645
Region x Season,Temperate Australasia,Summer,Mean_Intensity,0.024,0.082563101,2009,-0.013,0.621,0.052,0.5022,-4
Region x Season,Temperate Australasia,Summer,Maximum_Intensity,0.087,0.005757261,2008,-0.012,0.835,0.079,0.7426,-6.583333333333333
Region x Season,Temperate Australasia,Summer,Cumulative_Intensity,6.272,1.33e-6,1997,-2.033,0.392,8.82,0.0022,-4.338416133792426
Region x Season,Temperate Australasia,Autumn,Number_MHW_days,3.926,1.18e-5,1997,-0.446,0.753,4.485,0.065,-10.056053811659194
Region x Season,Temperate Australasia,Autumn,Nevents,0.229,3.03e-5,1997,-0.054,0.558,0.161,0.0798,-2.9814814814814814
Region x Season,Temperate Australasia,Autumn,Mean_Intensity,0.003,0.833876179,2007,-0.044,0.064,0.005,1,-0.11363636363636365
Region x Season,Temperate Australasia,Autumn,Maximum_Intensity,0.05,0.059080245,2006,-0.088,0.183,0.033,0.7526,-0.37500000000000006
Region x Season,Temperate Australasia,Autumn,Cumulative_Intensity,6.193,3.03e-5,1997,-0.845,0.558,6.982,0.0973,-8.262721893491126
Region x Season,Temperate Australasia,Winter,Number_MHW_days,3.461,6.12e-5,1997,-0.329,0.753,1.283,0.3875,-3.8996960486322183
Region x Season,Temperate Australasia,Winter,Nevents,0.213,1.76e-4,1997,-0.031,0.822,0.035,0.7261,-1.1290322580645162
Region x Season,Temperate Australasia,Winter,Mean_Intensity,0.007,0.470040488,2005,-0.02,0.309,-0.007,0.4838,0.35
Region x Season,Temperate Australasia,Winter,Maximum_Intensity,0.049,0.009053987,2005,0.005,0.901,0.026,0.9016,5.199999999999999
Region x Season,Temperate Australasia,Winter,Cumulative_Intensity,4.647,7.44e-5,1997,-0.374,0.822,2.425,0.4982,-6.483957219251336
Region x Season,Temperate Australasia,Spring,Number_MHW_days,2.581,2.42e-4,1997,-0.948,0.344,2.638,0.1412,-2.782700421940928
