Year,Season,REALM,Metrics,values
1983,Autumn,Eastern Indo-Pacific,meanCumInt,9.428784375
1983,Autumn,Eastern Indo-Pacific,meanMaxInt,1.53623125
1983,Autumn,Eastern Indo-Pacific,meanDuration,7.0625
1983,Autumn,Eastern Indo-Pacific,Number_Events,32
1983,Autumn,Southern Ocean,meanCumInt,2.1610749262536872
1983,Autumn,Southern Ocean,meanMaxInt,0.21506096361848576
1983,Autumn,Southern Ocean,meanDuration,12.882005899705014
1983,Autumn,Southern Ocean,Number_Events,1017
1983,Autumn,Temperate Australasia,meanCumInt,13.019264285714286
1983,Autumn,Temperate Australasia,meanMaxInt,1.778295918367347
1983,Autumn,Temperate Australasia,meanDuration,8.642857142857142
1983,Autumn,Temperate Australasia,Number_Events,98
1983,Autumn,Temperate Northern Atlantic,meanCumInt,20.338613936430317
1983,Autumn,Temperate Northern Atlantic,meanMaxInt,2.314744987775061
1983,Autumn,Temperate Northern Atlantic,meanDuration,10.535452322738386
1983,Autumn,Temperate Northern Atlantic,Number_Events,409
1983,Autumn,Temperate Northern Pacific,meanCumInt,27.388857969639467
1983,Autumn,Temperate Northern Pacific,meanMaxInt,2.227685104364326
1983,Autumn,Temperate Northern Pacific,meanDuration,13.648956356736242
1983,Autumn,Temperate Northern Pacific,Number_Events,1054
1983,Autumn,Temperate South America,meanCumInt,61.52997939698493
1983,Autumn,Temperate South America,meanMaxInt,1.971905527638191
1983,Autumn,Temperate South America,meanDuration,21.236180904522612
1983,Autumn,Temperate South America,Number_Events,398
1983,Autumn,Temperate Southern Africa,meanCumInt,16.094325
1983,Autumn,Temperate Southern Africa,meanMaxInt,2.103671875
1983,Autumn,Temperate Southern Africa,meanDuration,9.34375
1983,Autumn,Temperate Southern Africa,Number_Events,32
1983,Autumn,Tropical Atlantic,meanCumInt,9.330239221556885
1983,Autumn,Tropical Atlantic,meanMaxInt,1.511435628742515
1983,Autumn,Tropical Atlantic,meanDuration,7.598802395209581
1983,Autumn,Tropical Atlantic,Number_Events,334
1983,Autumn,Tropical Eastern Pacific,meanCumInt,40.59248041958042
1983,Autumn,Tropical Eastern Pacific,meanMaxInt,2.3380874125874125
1983,Autumn,Tropical Eastern Pacific,meanDuration,15.818181818181818
1983,Autumn,Tropical Eastern Pacific,Number_Events,143
1983,Autumn,Western Indo-Pacific,meanCumInt,13.56351472972973
1983,Autumn,Western Indo-Pacific,meanMaxInt,1.7164791891891893
1983,Autumn,Western Indo-Pacific,meanDuration,9.558108108108108
1983,Autumn,Western Indo-Pacific,Number_Events,740
1983,Spring,Arctic,meanCumInt,5.515742248958816
1983,Spring,Arctic,meanMaxInt,0.6227835724201758
1983,Spring,Arctic,meanDuration,12.244794076816289
1983,Spring,Arctic,Number_Events,2161
1983,Spring,Central Indo-Pacific,meanCumInt,10.983963525835867
1983,Spring,Central Indo-Pacific,meanMaxInt,1.6484005065856129
1983,Spring,Central Indo-Pacific,meanDuration,8.257345491388044
1983,Spring,Central Indo-Pacific,Number_Events,987
1983,Spring,Eastern Indo-Pacific,meanCumInt,8.484037
1983,Spring,Eastern Indo-Pacific,meanMaxInt,1.356905
1983,Spring,Eastern Indo-Pacific,meanDuration,7.62
